年龄,数量
18岁,10243
19岁,2677
20岁,5377
21岁,35239
22岁,23146
23岁,15136
24岁,26762
25岁,14995
26岁,11058
27岁,17536
28岁,11260
29岁,23778
30岁,15083
31岁,18875
32岁,19979
33岁,16913
34岁,19724
35岁,14186
36岁,36407
37岁,20915
38岁,28298
39岁,29304
40岁,31298
41岁,30892
42岁,25883
43岁,24283
44岁,17889
45岁,28136
46岁,32506
47岁,42752
48岁,62333
49岁,45713
50岁,48299
51岁,15043
52岁,25943
53岁,14722
54岁,14554
55岁,17846
56岁,25130
57岁,11738
58岁,8535
59岁,4520
60岁,6864
61岁,329
62岁,2504
63岁,2399
65岁,2239
66岁,322
67岁,2027
68岁,2054
69岁,516
